Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
433.0,105.41666670000001,106.0,30138.945,20.0,17.504742350405415,38.095238099999996,1.5229125849864873,,,
434.0,105.83333329999999,106.0,30138.945,20.0,17.156459387567576,38.095238099999996,1.4926119670810816,,,
435.0,106.25,106.0,30804.155,20.0,16.808176424729734,38.095238099999996,1.462311349175676,,,
436.0,106.66666670000001,106.0,30804.155,20.0,16.76037817242424,38.095238099999996,1.4581529011212118,,,
437.0,107.08333329999999,107.0,30688.13,20.0,17.35110993,39.04761905,1.5095465639999999,,,
438.0,107.5,107.0,30688.13,20.0,17.94184168757576,39.04761905,1.5609402268787882,,,
439.0,107.91666670000001,107.0,30688.13,21.0,18.13087585,39.04761905,1.577386199,,,
440.0,108.33333329999999,108.0,30688.13,21.0,18.13087585,40.0,1.577386199,,,
441.0,108.75,108.0,34029.65,21.0,18.103150839511116,40.0,1.5749741230888894,,,
442.0,109.16666670000001,108.0,34029.65,21.0,17.756588208400004,40.0,1.5448231742000005,,,
443.0,109.58333329999999,108.0,34029.65,21.0,17.410025577288895,40.0,1.5146722253111116,,,
444.0,110.0,109.0,33387.645,21.0,17.063462946177783,40.95238095,1.4845212764222226,,,
445.0,110.41666670000001,109.0,33387.645,21.0,16.716900315066674,40.95238095,1.4543703275333337,,,
446.0,110.83333329999999,109.0,33387.645,21.0,16.552280181735537,40.95238095,1.4400483758595042,,,
447.0,111.25,109.0,34153.41,21.0,16.51941151231405,40.95238095,1.4371888014793388,,,
448.0,111.66666670000001,109.0,34153.41,21.0,16.49180183,40.95238095,1.434786759,,,
449.0,112.08333329999999,109.0,34207.555,21.0,16.49180183,40.95238095,1.434786759,,,
450.0,112.5,109.0,34207.555,21.0,16.490758178235296,40.95238095,1.434695961294118,,,
451.0,112.91666670000001,109.0,34207.555,21.0,16.438575590000003,40.95238095,1.430156076,,,
452.0,113.33333329999999,109.0,34308.11,21.0,16.386393001764706,40.95238095,1.4256161907058824,,,
453.0,113.75,109.0,34308.11,21.0,16.36760727,40.95238095,1.423981832,,,
454.0,114.16666670000001,109.0,34099.265,21.0,16.36760727,40.95238095,1.423981832,,,
455.0,114.58333329999999,109.0,34099.265,21.0,16.36760727,40.95238095,1.423981832,,,
456.0,115.0,110.0,34099.265,21.0,16.36760727,41.904761900000004,1.423981832,,,
457.0,115.41666670000001,110.0,34099.265,21.0,16.36760727,41.904761900000004,1.423981832,,,
458.0,115.83333329999999,110.0,35491.565,21.0,16.363570408555553,41.904761900000004,1.4236306250666664,,,
459.0,116.25,109.0,35491.565,21.0,16.262648872444444,40.95238095,1.4148504517333331,,,
